xcor,ycor,velocidad,timecreac,tramosid,tonelaje,
20139316,839846549,29.07,43469.00854,582,0,
20139388,839847373,29.07,43469.00856,582,0,
20139388,839847373,29.07,43469.00859,582,0,
20139527,839849529,26.11,43469.00861,582,0,
20139426,839851028,27.59,43469.00863,582,0,
20137736,839854661,32.59,43469.00866,582,0,
20136565,839856178,35.55,43469.00868,582,0,
20135898,839856920,37.04,43469.0087,235,0,
20133566,839859183,38.15,43469.00873,235,0,
20132067,839860601,36.66,43469.00875,235,0,
20132067,839860601,36.66,43469.00877,235,0,
20130486,839861997,37.41,43469.0088,235,0,
20128157,839863965,36.29,43469.00882,235,0,
20128157,839863965,36.29,43469.00884,235,0,
20126578,839865223,35.74,43469.00887,235,0,
20124332,839867129,34.44,43469.00889,235,0,
20122085,839869192,35.92,43469.00891,235,0,
20120750,839870686,37.41,43469.00894,235,0,
20119414,839872212,35.92,43469.00896,235,0,
20117658,839874493,33.7,43469.00898,388,0,
20117658,839874493,33.7,43469.009,388,0,
20116570,839875979,32.96,43469.00903,388,0,
20116067,839876691,31.85,43469.00905,388,0,
20115144,839878169,30,43469.00907,388,0,
20114703,839880571,28.15,43469.0091,38,0,
20115014,839882096,26.66,43469.00912,38,0,
20115894,839884218,28.7,43469.00914,38,0,
20116297,839884920,28.7,43469.00917,38,0,
20117185,839886335,30,43469.00919,38,0,
20118156,839887709,29.44,43469.00921,38,0,
20119780,839889630,30,43469.00924,38,0,
20120917,839890890,30.37,43469.00926,38,0,
20122137,839892129,30.18,43469.00928,38,0,
20123358,839893253,28.89,43469.00931,38,0,
20124662,839894282,29.81,43469.00933,38,0,
20126051,839895207,28.33,43469.00935,2693,0,
20128177,839896395,27.78,43469.00937,2693,0,
20129485,839897139,25,43469.0094,2693,0,
20129485,839897139,25,43469.00942,2693,0,
20130139,839897485,25.37,43469.00944,2693,0,
20131448,839898187,25.74,43469.00947,2693,0,
20133495,839899078,26.48,43469.00949,2693,0,
20134887,839899707,27.03,43469.00951,2693,0,
