ycor,velocidad,timecreac,tramosid,tonelaje,tonhora
839743279,3870,43469.00604,21,0,7320
839744785,3500,43469.00606,21,0,7320
839746268,3352,43469.00609,21,0,7320
839746951,3148,43469.00611,21,0,7320
839748705,3037,43469.00613,21,0,7320
839749809,3037,43469.00616,21,0,7320
839750818,2981,43469.00618,21,0,7320
839752017,2963,43469.0062,21,0,7320
839752396,2907,43469.00623,21,0,7320
839753038,2944,43469.00625,22,0,7320
839753038,2944,43469.00627,22,0,7320
839754383,2870,43469.0063,22,0,7320
839754782,2944,43469.00632,22,0,7320
839755119,2889,43469.00634,22,0,7320
839755645,2833,43469.00637,22,0,7320
839756045,2778,43469.00639,22,0,7320
839756214,2629,43469.00641,22,0,7320
839756516,2555,43469.00644,22,0,7320
839756516,2555,43469.00646,22,0,7320
839756880,2685,43469.00648,23,0,7320
839757412,2796,43469.0065,23,0,7320
839757412,2796,43469.00653,23,0,7320
839757758,2833,43469.00655,23,0,7320
839758052,2833,43469.00657,23,0,7320
839758325,2833,43469.0066,23,0,7320
839758828,2889,43469.00662,23,0,7320
839759257,2852,43469.00664,23,0,7320
839759665,2889,43469.00667,23,0,7320
839760032,2907,43469.00669,23,0,7320
839760220,2870,43469.00671,86,0,7320
839760956,2833,43469.00674,86,0,7320
839761639,2926,43469.00676,86,0,7320
839762554,2796,43469.00678,86,0,7320
null,null,43469.00681,null,null,7320
839764179,2759,43469.00683,86,0,7320
839764179,2759,43469.00685,86,0,7320
839766878,2759,43469.00687,86,0,7320
839767619,2722,43469.0069,86,0,7320
839769820,2740,43469.00692,86,0,7320
839771343,2722,43469.00694,86,0,7320
839772846,2722,43469.00697,86,0,7320
839775056,2740,43469.00699,86,0,7320
839775056,2740,43469.00701,86,0,7320
839777343,2740,43469.00704,86,0,7320
839779778,2852,43469.00706,86,0,7320
839779778,2852,43469.00708,86,0,7320
839781378,2889,43469.00711,86,0,7320
839782967,2852,43469.00713,86,0,7320
839785336,2889,43469.00715,25,0,7320
839786933,2889,43469.00718,25,0,7320
839788489,2907,43469.0072,25,0,7320
