Fecha,Turno,Area,Actividad,Origen,Destino,Volquete,Placa,Capacidad,PesoViaje,Contrata,EquipoCarguio,# Pases,Capacidad Exc,TipoEquipoCarguio,Material,CicloVolquete,Tarifa,Monto,CCosto,ToneladaSeca,HorasHorometros,VelocidadPromedio
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_408RAP,,24,37.392,CONTRATA DE TRANSPORTES RAPESA S.A.C.,374DL_03MAC,5,5,Excavadora Producción,Mineral,30.5,50,101.665,1403,144.415382,10.6,13.829
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_409RAP,,24,37.392,CONTRATA DE TRANSPORTES RAPESA S.A.C.,374DL_03MAC,5,5,Excavadora Producción,Mineral,30.5,50,152.5,1403,216.623073,8.7,14.003
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_528CJ,T0D-826,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,30.5,50,279.585,1403,397.142301,10.33,15.563
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_529CJ,T0D-841,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,30.5,50,228.75,1403,324.93461,11.18,14.987
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_530CJ,T0D-843,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,30.5,50,228.75,1403,324.93461,9.98,14.74
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_530CJ,T0D-843,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,374DL_03MAC,5,5,Excavadora Producción,Mineral,30.5,50,50.835,1403,72.207691,9.98,14.74
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_531CJ,T0N-885,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,30.5,50,254.165,1403,361.038456,10.16,14.015
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_532CJ,T0R-905,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,30.5,50,203.335,1403,288.830764,10.67,14.588
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_533CJ,T0S-939,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,30.5,50,228.75,1403,324.93461,10.19,14.355
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_533CJ,T0S-939,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,374DL_03MAC,5,5,Excavadora Producción,Mineral,30.5,50,76.25,1403,108.311536,10.19,14.355
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_534CJ,T0T-920,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,30.5,50,279.585,1403,397.142301,10.35,14.249
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_535CJ,T0T-889,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,30.5,50,152.5,1403,216.623073,9.44,13.549
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_536CJ,T0T-838,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,30.5,50,228.75,1403,324.93461,10.18,13.768
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_537CJ,T0T-914,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,30.5,50,203.335,1403,288.830764,9.98,14.415
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_537CJ,T0T-914,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,374DL_03MAC,5,5,Excavadora Producción,Mineral,30.5,50,127.085,1403,180.519228,9.98,14.415
