ToneladaSeca,VelocidadPromedio,CicloVolquete
36.187977,14.388,31.38
36.187977,13.985,31.38
144.75191,14.248,31.38
289.50382,14.289,31.38
108.563932,14.559,31.38
108.563932,13.968,31.38
301.56648,14.297,31.38
241.253184,14.25,31.38
120.626592,14.2,31.38
289.50382,14.425,31.38
253.315843,13.795,31.38
253.315843,14.595,31.38
361.879776,14.511,31.38
361.879776,13.684,31.38
325.691798,14.029,31.38
325.691798,14.949,31.38
217.127865,14.395,31.38
325.691798,14.238,31.38
144.75191,13.915,31.38
108.563932,14.971,31.38
108.563932,15.532,31.38
180.939888,13.244,31.38
36.187977,13.556,31.38
217.127865,13.474,31.38
180.939888,14.105,31.38
108.563932,13.684,31.38
72.375955,13.804,31.38
30.156648,12.697,31.38
72.375955,13.811,31.38
36.187977,13.08,31.38
36.187977,13.08,31.38
72.375955,13.337,31.38
108.563932,13.571,31.38
30.156648,12.759,31.38
36.187977,12.54,31.38
72.375955,13.109,31.38
36.187977,13.889,31.38
36.187977,13.889,31.38
36.187977,13.278,31.38
36.187977,13.628,31.38
36.187977,14.344,31.38
36.187977,13.627,31.38
36.187977,14.293,31.38
36.187977,14.559,31.38
36.187977,13.73,31.38
144.75191,15.346,31.38
36.187977,14.06,31.38
36.187977,14.041,31.38
36.187977,14.041,31.38
36.187977,14.08,31.38
36.187977,14.135,31.38
144.75191,14.06,31.38
72.375955,14.06,31.38
72.375955,13.314,31.38
36.187977,13.256,31.38
